pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
06654b21-32cf-4864-b666-0181baf7a587,infores:arax,Ataxia,MONDO:0000437,biolink:Disease,Riluzole,CHEBI:8863,biolink:SmallMolecule,6,0.999,0.999,0.0,0.0,0.499,99.726,False,-0.0,False,0.977,False,-0.0,True,0.758,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,6,ce826e424974a1fabb41b1b36671d35a,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:8863,Riluzole,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:in_clinical_trials_for,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:biothings-explorer,
06654b21-32cf-4864-b666-0181baf7a587,infores:arax,Ataxia,MONDO:0000437,biolink:Disease,Riluzole,CHEBI:8863,biolink:SmallMolecule,6,0.999,0.999,0.0,0.0,0.499,99.726,False,-0.0,False,0.977,False,-0.0,True,0.758,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,6,CHEBI:8863-in_clinical_trials_for-MONDO:0000437-via_subclass,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:8863,Riluzole,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:in_clinical_trials_for,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
06654b21-32cf-4864-b666-0181baf7a587,infores:arax,Ataxia,MONDO:0000437,biolink:Disease,Riluzole,CHEBI:8863,biolink:SmallMolecule,6,0.999,0.999,0.0,0.0,0.499,99.726,False,-0.0,False,0.977,False,-0.0,True,0.758,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,6,expanded-MONDO:0008458-subclass_of-MONDO:0000437,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,MONDO:0008458,spinocerebellar ataxia type 2,['biolink:Disease'],biolink:Disease,biolink:subclass_of,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:mondo,0,infores:biothings-explorer,
06654b21-32cf-4864-b666-0181baf7a587,infores:arax,Ataxia,MONDO:0000437,biolink:Disease,Riluzole,CHEBI:8863,biolink:SmallMolecule,6,0.999,0.999,0.0,0.0,0.499,99.726,False,-0.0,False,0.977,False,-0.0,True,0.758,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,6,02ff501b9bbb401e7fa54a3bb24827c2,MONDO:0008458,spinocerebellar ataxia type 2,['biolink:Disease'],biolink:Disease,CHEBI:8863,Riluzole,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:in_clinical_trials_for,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:biothings-explorer,
06654b21-32cf-4864-b666-0181baf7a587,infores:arax,Ataxia,MONDO:0000437,biolink:Disease,Riluzole,CHEBI:8863,biolink:SmallMolecule,6,0.999,0.999,0.0,0.0,0.499,99.726,False,-0.0,False,0.977,False,-0.0,True,0.758,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,6,a24c581c7a4d14b94367af21e8da9233,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:8863,Riluzole,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMID:20211908', 'PMID:28446951', 'PMID:26321318', 'PMID:35063116']",DEFAULT PHRASE,infores:semmeddb,4,infores:biothings-semmeddb,infores:biothings-explorer
06654b21-32cf-4864-b666-0181baf7a587,infores:arax,Ataxia,MONDO:0000437,biolink:Disease,Riluzole,CHEBI:8863,biolink:SmallMolecule,6,0.999,0.999,0.0,0.0,0.499,99.726,False,-0.0,False,0.977,False,-0.0,True,0.758,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,6,CHEBI:8863-treats_or_applied_or_studied_to_treat-MONDO:0000437-via_subclass,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:8863,Riluzole,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
06654b21-32cf-4864-b666-0181baf7a587,infores:arax,Ataxia,MONDO:0000437,biolink:Disease,Riluzole,CHEBI:8863,biolink:SmallMolecule,6,0.999,0.999,0.0,0.0,0.499,99.726,False,-0.0,False,0.977,False,-0.0,True,0.758,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,6,expanded-MONDO:0100310-subclass_of-MONDO:0000437,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,MONDO:0100310,hereditary cerebellar ataxia,['biolink:Disease'],biolink:Disease,biolink:subclass_of,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:mondo,0,infores:biothings-explorer,
06654b21-32cf-4864-b666-0181baf7a587,infores:arax,Ataxia,MONDO:0000437,biolink:Disease,Riluzole,CHEBI:8863,biolink:SmallMolecule,6,0.999,0.999,0.0,0.0,0.499,99.726,False,-0.0,False,0.977,False,-0.0,True,0.758,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,6,926df6e1b6b2938af4f645c2b23fa4ce,MONDO:0100310,hereditary cerebellar ataxia,['biolink:Disease'],biolink:Disease,CHEBI:8863,Riluzole,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMID:27302350', 'PMID:27302351', 'PMID:26369510', 'PMID:26321318']",DEFAULT PHRASE,infores:semmeddb,4,infores:biothings-semmeddb,infores:biothings-explorer
06654b21-32cf-4864-b666-0181baf7a587,infores:arax,Ataxia,MONDO:0000437,biolink:Disease,Riluzole,CHEBI:8863,biolink:SmallMolecule,6,0.999,0.999,0.0,0.0,0.499,99.726,False,-0.0,False,0.977,False,-0.0,True,0.758,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,6,expanded-MONDO:0100310-subclass_of-MONDO:0000437,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,MONDO:0100310,hereditary cerebellar ataxia,['biolink:Disease'],biolink:Disease,biolink:subclass_of,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:mondo,0,infores:biothings-explorer,
06654b21-32cf-4864-b666-0181baf7a587,infores:arax,Ataxia,MONDO:0000437,biolink:Disease,Riluzole,CHEBI:8863,biolink:SmallMolecule,6,0.999,0.999,0.0,0.0,0.499,99.726,False,-0.0,False,0.977,False,-0.0,True,0.758,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,6,2ef464e69a9a4d82187ea12a83c2de59,MONDO:0100310,hereditary cerebellar ataxia,['biolink:Disease'],biolink:Disease,CHEBI:8863,Riluzole,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:3505862', 'PMC:6089349', 'PMC:7220524', 'PMC:7246822', 'PMC:9098367']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:biothings-explorer,
